References	Qty	Description	Digikey	Mouser	RS	Newark	Farnell	LCSC
C1,C4,C11	3	10u 25V						C15850
C2	1	100n 50V						C14663
C3,C5,C6,C7,C8,C9,C10	7	100n 50V						C1525
D1	1	LED RED						C2286
D2	1	LED GREEN						C72043
J1	1	USB-c						C319148
L1	1	4u7						C86070
R1,R2	2	DNP						DNP
R13	1	100						C25076
R5,R3,R4,R7,R10,R11	6	3k3						C25890
R6,R12	2	10k						C25744
R8,R9	2	0						C17168
SW1	1	SW_Push						C92589
U1	1	USBLC6-4						C111212
U2	1	STM32F072C8Tx						C80488
U3	1	SY8201						C108052
U4	1	FUSB302BMPX						C132291
