References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell	LCSC
B1	1	B1	Harwin	S8401-46		S8401-46							952-1743-1-ND	855S840146	1613709		2115304	
C10, C12	2	C10, C12	Würth Elektronik	MC0603N4R7C500CT	KEMET	885012006049	Yageo	C0603C479C5GACTU	Multicomp	CC0603CRNPO9BN4R7		MC0603N4R7C500CT	311-1740-1-ND	603CC603CRNPO9BN4R7	2989315		2533849	
C13	1	C13	Panasonic	EEEFK1V470P		EEEFK1V470P							PCE3842CT-ND	667EEEFK1V470P	5370657		9695850	
C15, C22, C49	3	C15, C22, C49	KEMET	T491A475K006AT	KEMET	T491A475K006AT		T491A475K006AT7280					399-9717-1-ND	80T491A475K006	5382335P		2321209	
C24, C33, C34, C48, C56	5	C24, C33, C34, C48, C56	Yageo	885012207078	Würth Elektronik	08052R104K8BB	Samsung	885012207078	Taiyo Yuden	CL21B105KAFNNNE		TMK212B7105KG-T	1276-1066-6-ND	963TMK212B7105KGT	378665		3013481	
C3, C4, C6, C7	4	C3, C4, C6, C7	AVX	VJ0805Y103JXXPW1BC	Würth Elektronik	08055C103KAT2A	Murata	885012207122	Vishay	GRM033R61E103KA12D		VJ0805Y103JXXPW1BC	490-7194-6-ND	58108055C103K	1359020		499225	
C36, C37, C50	3	C36, C37, C50	KEMET	GRM21BR71C225KA12L	Samsung	C0805C225M4REC7210	Samsung	CL21B225KAFNNNE	Murata	CL21B225KAFNNNF		GRM21BR71C225KA12L	490-3906-1-ND	81GRM21BR71C225KA2L	7236076		1828829	
C39, C47, C53	3	C39, C47, C53	KEMET	C3216X7R1E475K160AC	TDK	C1206C475K3RACTU	Samsung	C3216X7R1E475K160AC	Taiyo Yuden	CL21B475KOFNFNE		EMK316B7475ML-T	445-1606-6-ND	810C3216X7R1E475K	6911221		1907356	
C5, C14, C16, C17, C18, C19, C20, C21, C23, C26, C27, C28, C29, C30, C31, C32, C35, C40, C41, C42, C43, C44, C45, C46, C52, C55, C58, C59, C60, C61, C62, C63, C65, C66, C67, C68	36	C5, C14, C16, C17, C18, C19, C20, C21, C23, C26, C27, C28, C29, C30, C31, C32, C35, C40, C41, C42, C43, C44, C45, C46, C52, C55, C58, C59, C60, C61, C62, C63, C65, C66, C67, C68	KEMET	C0603C104K4RAC7081	KEMET	C0603C104K4RAC7081	KEMET	C0603C104K4RACTU	Murata	C0603C104M4RACTU		GCM188R71C104KA37D	490-4774-6-ND	80C0603C104M4R	2644630		1414610	
C64	1	C64	AVX	T491A106K006AT	KEMET	F930J106MA	KEMET	T491A106K006AT		T491A106K006AT7280			399-3683-6-ND	80T491A106K0067280	1362614		1457412	
C8	1	C8	Würth Elektronik	VJ0805A102JXACW1BC	Würth Elektronik	885012007040	Vishay	885012007063		VJ0805A102JXACW1BC			720-1634-6-ND	710885012007063	1927618		2533866	
C9, C11	2	C9, C11	KEMET	VJ0603A180JXACW1BC	Samsung	C0603C180J5GACTU	Vishay	CL10C180JB8NNNC		VJ0603A180JXACW1BC			1276-1089-6-ND	77VJ0603A180JXACBC	147415		1414620	
D1	1	D1	STMicroelectronics	SMBJ5.0ATR		SMBJ5.0A-TR							497-3144-1-ND	511SMBJ5.0A	7147210		9886311	
D2	1	D2	ON Semiconductor	RB751V40T1G		RB751V40T1G							RB751V40T1GOSDKR-ND	863RB751V40T1G	6900022		1459171	
FB1, FB2	1	FB1, FB2	Murata	MMZ1608Y102B	TDK	BLM18AG102SH1D	TDK	MMZ1608Y102B		MMZ1608Y102BT			490-7809-1-ND	81BLM18AG102SH1D	8390803P		1669708	
IC1, IC10	2	IC1, IC10	Texas Instruments	TPD4E001DRLR		TPD4E001DRLR							296-21887-6-ND	595TPD4E001DRLR	7099066		3004243	
IC12	1	IC12	Texas Instruments	TSC2007IPWR	Texas Instruments	TSC2007IPW		TSC2007IPWR					296-27124-1-ND	595TSC2007IPWR	6613545		3008610	
IC14	1	IC14	Texas Instruments	DP83848CVV/NOPB		DP83848CVV/NOPB							DP83848CVV/NOPB-ND	926DP83848CVV/NOPB	6515738		3123672	
IC2	1	IC2	Texas Instruments	CD74HC4050PW	Texas Instruments	CD74HC4050PW		CD74HC4050PWR					296-9215-6-ND	595CD74HC4050PWR	6627131		1753505	
IC3	1	IC3	STMicroelectronics	STM32F769IIT6		STM32F769IIT6							497-16649-ND	511STM32F769IIT6			2849930	
IC4	1	IC4	STMicroelectronics	LD1117ADT33TR		LD1117ADT33TR							497-3455-6-ND	511LD1117ADT33TR	6869123		2849768	
IC6	1	IC6	ISSI	IS42S16400J-6TLI	ISSI	IS42S16400J-6TLI	ISSI	IS42S16400J-7TL		IS42S16400J-7TLI			706-1133-ND	870IS42S16400J7TLI	8115125		2901167	
IC7	1	IC7	Microchip	AT24C256C-SSHL-B		AT24C256C-SSHL-B							AT24C256C-SSHL-B-ND	556AT24C256CSSHLB	7380041P		1972001	
IC8	1	IC8	Texas Instruments	TPS2051BDBVR	Texas Instruments	TPS2051BDBVR		TPS2051BDBVT					296-21265-1-ND	595TPS2051BDBVR	6622384		3124035	
IC9	1	IC9	Texas Instruments	TPS61169DCKR		TPS61169DCKR							296-40821-1-ND	595TPS61169DCKR			3119206	
J1	1	J1	Molex	503398-1892		503398-1892							WM11190CT-ND	5385033981892	8801277		2358234	
J2	1	J2	Molex	67803-8020		67803-8020							WM17148CT-ND	538678038020	7206618		1355761	
L1	1	L1	Bourns	SDR0403-4R7ML		SDR0403-4R7ML							SDR0403-4R7MLCT-ND	652SDR04034R7ML	1809021		1827980	
LCD1	1	LCD1	Molex	505110-4091		505110-4091							WM11292CT-ND	5385051104091	1789542		3215752	
Q2	1	Q2	Diodes Inc.	2N7002-7-F	ON Semiconductor	2N7002-7-F		2N7002LT1G					2N7002-FDIDKR-ND	6212N7002F	5450012		1713823	
R1, R3, R4, R6, R7, R8, R11, R14, R15, R16	10	R1, R3, R4, R6, R7, R8, R11, R14, R15, R16	TE Connectivity	CRGCQ0805F4K7	TE Connectivity	CRG0805F4K7	Yageo	CRGCQ0805F4K7		RC0805FR-074K7L			311-4.70KCRDKR-ND	603RC0805FR074K7L	2230528		9237704	
R17	1	R17	TE Connectivity	CRGCQ0805J47R	TE Connectivity	CRG0805F47R	TE Connectivity	CRGCQ0805F47R	Panasonic	CRGCQ0805J47R		ERJ-6ENF47R0V	A130126DKR-ND	667ERJ6ENF47R0V	2230253		2861899	
R2, R10, R12, R13, R30	5	R2, R10, R12, R13, R30	TE Connectivity	RC0805FR-0710KL	Yageo	CRG0805F10K		RC0805FR-0710KL					311-10.0KCRCT-ND	603RC0805FR0710KL	1251189		9237755	
R21, R22	2	R21, R22	Vishay	MCWR08X4702FTL	Rohm	CRCW080547K0FKEA	Multicomp	ESR10EZPJ473	Yageo	MCWR08X4702FTL		RC0805FR-0747KL	311-47.0KCRDKR-ND	603RC0805FR0747KL	6791434		2447664	
R23, R25	2	R23, R25	Vishay	MCWR08X10R0FTL	TE Connectivity	CRCW080510R0FKEAC	Multicomp	CRG0805F10R	Yageo	MCWR08X10R0FTL		RC0805FR-0710RL	311-10.0CRCT-ND	71CRCW080510R0FKEAC	2230152		2164254	
R28, R29	2	R28, R29	TE Connectivity	WCR0805-220RFI	Stackpole Electronics	CRG0805F220R	Welwyn	RMCF0805FT22R0		WCR0805-220RFI			RMCF0805FT22R0CT-ND	756WCR0805220RFI	2230332P		1099795	
