References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell	LCSC
C4	1	1206	FH	1206X476M160NT						C172351
H1,H2	2	210S-1X8P	Ckmtw	210S-1*8P L=11.6MMGold-plated black						C27438
U1	1	LQFP-48_7X7X05P	STMicroelectronics	STM32F072C8T6						C80488
U2	1	SOT-23-5	RICHTEK	RT9193-33GB						C15651
C6,C7,C11,C13,C21	5	0603	FH	0603X475K160NT						C99229
R10,R11,R24	3	0603	FH	RS-03K20R0FT						C136605
SWD	1	DIP-1X4P-2.54MM-M	Ckmtw	210S-1*4P L=11.6MMGold-plated black						C124378
L3	1	3015	TAITEC	HPC3015TF-6R8M						C155142
LED1,LED2,LED3	3	LED-0603	NATIONSTAR	FC-DA1608HRK-620D						C84263
USB	1	MICRO-USB-1	ValuePro	micro USBFemale						C10418
C1,C19,C22,C5,C8,C9,C12,C3,C14,C17,C2,C10	12	0603	FH	0603F104M500NT						C42998
R25,R2,R23	3	0603	YAGEO	RC0603FR-071KL						C22548
R1	1	0603	YAGEO	RC0603JR-0710KL						C99198
R6,R14,R16,R3,R13,R12	6	0603	FH	RS-03K203JT						C118368
R5,R4,R9,R26	4	0603	HKR	RCT03240KFLF						C177602
R17,R15	2	0603	YAGEO	RC0603FR-07100KL						C14675
R18,R19,R21,R20,R22	5	0603	YAGEO	AC0603FR-07100RL						C125923
R8,R7	2	0603	YAGEO	RC0603JR-076K2L						C137614
X1	1	HC-49S	YXC	X49SD8MSB2SC						C114147
C15,C16	2	0603	FH	0603CG200J500NT						C91702
SW1	1	KEY-TACT-SMD-6.1*3.7*2.5	HYP	1TS002E-2700-2500						C319367
D1	1	SMAF	SK	SS14F						C110213
P1	1	HDR-1X1/2.54	ReliaPro	Header-Male-2.54_1x1						C81276
U6	1	SOT-23-6	AEROSEMI	MT3608						C84817
D2,D3	2	SOD-523F	SK	RB521S-30						C122862
Q2	1	SOT-23(SOT-23-3)	SK	BSS84						C112238
Q1	1	SOT-23(SOT-23-3)	SK	BSS138						C112239
U3	1	SOIC-8_150MIL	Diodes Incorporated	AS358AMTR-E1						C141322
