References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell	LCSC
C1, C4, C5, C7, C8, C9, C12	7	0.1uF Capacitors_SMD:C_0603		GRM188R71C104KA01D						
C2, C3, C6	3	2.2uF Capacitors_SMD:C_0805		TMK212B7225KG-TR						
C10, C11	2	22pF Capacitors_SMD:C_0603		VJ0603A220JXACW1BC						
G1	1	16MHz T32 ref:HC49US		ABL-16.000MHz-B1U						
G2	1	32.768kHz T32 ref:TC26H		CFS206-32.768KDZF-UB						
K1	1	MK20DX256VLH7 T32 ref:LQFP64-05		MK20DX256VLH7						
K2	1	MKL04Z32VLC4 T32 ref:LQFP32-08								
P1	1	~ LEDs:LED_0805		SML-211DTT86						
R1	1	FUSE Resistors_SMD:R_0805		0ZCK0050FF2E						
R2, R4	2	~ Resistors_SMD:R_0603		BLM18AG601SN1D						
R3, R8	2	470R Resistors_SMD:R_0603		CRCW0603470RFKEA						
R5, R6	2	33R Resistors_SMD:R_0603		ERJ-PA3F33R0V						
R7	1	~ TO_SOT_Packages_SMD:SOT-23		BAT54C,215						
S1	1	~ T32 ref:ALPS_SKHH		SKHHPKA010						
SJ1	1	~ T32 ref:SOLDERJUMPER								
T1	1	MCP1825S TO_SOT_Packages_SMD:SOT-223		MCP1825S-3302E/DB						
X1	1	MINI-USB T32 ref:MOLEX_SD-67503-010		67503-1020						
